"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000135426",432.127022356347,3.31343223466573,0.458228883276106,5.04863905157146,4.44968538823547e-07,0.000130676790004503,"TESPA1"
"ENSG00000188404",1318.04869921744,3.46239192089313,0.488016554348444,5.04571391882535,4.5183104397333e-07,0.000131403873031273,"SELL"
"ENSG00000220517",13.7115615286917,3.58721276715315,0.513326932403506,5.0400877176642,4.65318520108527e-07,0.000134025156440874,"ASS1P1"
"ENSG00000241666",37.5786334184305,3.45660969535916,0.488204985499142,5.03192259056412,4.85585343104246e-07,0.000138297259269805,"RP3-455J7.4"
"ENSG00000197520",92.9041748009982,4.65420829675122,0.726629477790226,5.02898438398637,4.93084541933503e-07,0.000138297259269805,"FAM177B"
"ENSG00000237499",303.493473503193,2.88231871680784,0.374328751712206,5.02851760170166,4.94286147725229e-07,0.000138297259269805,"RP11-356I2.4"
"ENSG00000211753",27.5586018825344,4.60020147640261,0.716195209418605,5.02684383957998,4.98618060461991e-07,0.000138297259269805,"TRBV28"
"ENSG00000271856",210.595397621767,5.28393121322365,0.853962738212189,5.01653177771229,5.26125776417717e-07,0.000143273614841752,"LINC01215"
"ENSG00000146285",372.68323058906,3.45124253728074,0.488562382201594,5.01725598732097,5.24147089987367e-07,0.000143273614841752,"SCML4"
"ENSG00000261471",35.0783800903667,3.72430378650359,0.543638090495817,5.01124522753534,5.40789464641661e-07,0.000145940075795865,"RP11-61F12.1"
"ENSG00000186517",2110.79505209629,3.19165249496238,0.437885369322186,5.00508271914838,5.58380475399123e-07,0.000148066031274856,"ARHGAP30"
"ENSG00000229754",69.5752259517165,4.03497554869982,0.606385917711731,5.00502313799215,5.58553214290059e-07,0.000148066031274856,"CXCR2P1"
"ENSG00000262312",27.6072272100428,3.26303855862343,0.452701611448651,4.99896289607116,5.76394917803964e-07,0.000151455348796647,"LA16c-390H2.4"
"ENSG00000072858",388.399732646324,3.0036735577771,0.400960211616651,4.99718799952343,5.81723501076787e-07,0.000151526325867436,"SIDT1"
"ENSG00000117322",1092.6282617095,5.9727374315058,0.996620543335108,4.9895995670177,6.05045823412189e-07,0.000156242652071656,"CR2"
"ENSG00000187862",103.605413039723,4.5553390171023,0.713507748075304,4.98290176482718,6.26377548350599e-07,0.000160368713340532,"TTC24"
"ENSG00000144354",229.215294869911,3.06727427310944,0.415339241668134,4.97731508539047,6.44723249681634e-07,0.00016229147011944,"CDCA7"
"ENSG00000260719",81.2495764575674,4.29024078257912,0.660924568062326,4.97823948688323,6.4165232747045e-07,0.00016229147011944,"AC009133.17"
"ENSG00000074966",426.161611656898,3.22519164288936,0.447583895817298,4.97156323916908,6.64151929838531e-07,0.000165788925485943,"TXK"
"ENSG00000250850",17.1592934985281,6.03103494068418,1.01347189563504,4.9641583179095,6.89996428544571e-07,0.000169732311903599,"RP11-297B17.3"
"ENSG00000245466",20.8370084716778,3.79180014745239,0.562432367209603,4.96379708960092,6.91281657560976e-07,0.000169732311903599,"CTD-2540L5.6"
"ENSG00000167984",1382.96104147521,2.58692227840459,0.320927426419945,4.9448010601875,7.62216624614427e-07,0.000185627634067684,"NLRC3"
"ENSG00000126882",826.677432118629,2.82007664017443,0.368736773307458,4.9359781066827,7.97500539347997e-07,0.000192654263356204,"FAM78A"
"ENSG00000137571",55.3683474910593,3.52097178289187,0.511041640668974,4.93300659334103,8.09734206887088e-07,0.000194044705338422,"SLCO5A1"
"ENSG00000259436",39.8793302007313,3.99716732524803,0.609710257956296,4.91572396254955,8.84549613385307e-07,0.000210291140229816,"CTC-378H22.2"
"ENSG00000013725",1047.92069490267,3.53286406984407,0.516532946735987,4.90358666538009,9.41023959858693e-07,0.000218514517190443,"CD6"
"ENSG00000123329",2667.64460968333,3.38412354473079,0.486151789164713,4.90407234503259,9.38698909961092e-07,0.000218514517190443,"ARHGAP9"
"ENSG00000136490",2424.91132282488,3.20957212200678,0.450554296160562,4.90411952751498,9.38473332542625e-07,0.000218514517190443,"LIMD2"
"ENSG00000242258",60.1458517230149,4.19819145493131,0.65285874304795,4.89874952122133,9.64485014720658e-07,0.000222239604738133,"LINC00996"
"ENSG00000224875",7.92890936714751,5.83625512166534,0.987791757422658,4.8960270070324,9.77936320515795e-07,0.000223618950237028,"AC083949.1"
"ENSG00000185811",1881.4606689262,3.1093936188062,0.432101677670331,4.88170661631993,1.05171648880287e-06,0.000238667935015833,"IKZF1"
"ENSG00000124203",615.859341519857,3.42725510840245,0.498036407819838,4.87364993862155,1.09555047392912e-06,0.000246745973282306,"ZNF831"
"ENSG00000234572",11.1241291319544,5.69774354761238,0.964742559296783,4.86942708429557,1.11922272783801e-06,0.000248343087499166,"AC007880.1"
"ENSG00000174083",170.054298384751,3.12242759393271,0.43579100076492,4.87028779898467,1.11435818882895e-06,0.000248343087499166,NA
"ENSG00000104921",429.536375875104,5.22788247070705,0.870112860381718,4.85900469147449,1.17977338432331e-06,0.000259853762701505,"FCER2"
"ENSG00000185862",1782.21017232701,3.30951827312457,0.476347234925585,4.84839231508368,1.24466064960168e-06,0.000272144596779695,"EVI2B"
