"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000258525",6.78260833054172,4.08642902935028,0.740965034688346,4.16541791428586,3.10782732101274e-05,0.0079720913422769,"RP11-829H16.3",100506071
"ENSG00000121895",222.339985927427,3.8631604577523,0.689153848814254,4.15460272430983,3.25853201848792e-05,0.00822565660437478,"TMEM156",80008
"ENSG00000163518",33.6770074639076,5.04636833483274,0.976075070480688,4.14555033440207,3.38998519356752e-05,0.00825709382004885,"FCRL4",83417
"ENSG00000143167",47.4692229640942,4.15113169530499,0.760196346105875,4.14515501349979,3.39583906010158e-05,0.00825709382004885,"GPA33",10223
"ENSG00000260101",27.3096793565924,2.79419109400602,0.432606244486611,4.14739989741768,3.36272417254761e-05,0.00825709382004885,"RP11-568N6.1",101927402
"ENSG00000198286",1088.46052877751,3.03420083494809,0.490815237856296,4.14453480261278,3.40504242343801e-05,0.00825709382004885,"CARD11",84433
"ENSG00000160683",23.629196396836,4.52152808021653,0.848380100960439,4.15088481711188,3.31192418202663e-05,0.00825709382004885,"CXCR5",643
"ENSG00000153898",293.979098219097,2.94386996749032,0.469553761130633,4.13982408065415,3.47572258738306e-05,0.00836264285340906,"MCOLN2",255231
"ENSG00000218018",18.7279129952653,2.50787100181258,0.364496994030546,4.13685442269029,3.52099332881623e-05,0.008405893918415,"RP4-800J21.3",NA
"ENSG00000159618",328.118129998694,2.90993247436546,0.463334720199509,4.12214408094229,3.75362294911998e-05,0.00878780874339838,"ADGRG5",221188
"ENSG00000172794",486.099867482431,2.74634783902513,0.423731888726311,4.12135098983096,3.76657062093251e-05,0.00878780874339838,"RAB37",326624
"ENSG00000268027",218.814505576797,3.19384043172704,0.532277866409317,4.1216074726654,3.76237875866485e-05,0.00878780874339838,"AC006129.2",NA
"ENSG00000253535",7.55278430788985,4.65942934513348,0.888438581266123,4.11894465447279,3.80611540962547e-05,0.00881330347896509,"RP11-624C23.1",NA
"ENSG00000228863",11.4978094265451,3.72158584492981,0.661678782904867,4.11315265842687,3.90292103413176e-05,0.00897001933493701,"RP11-404F10.2",NA
"ENSG00000253686",26.4518035257406,3.19988974716726,0.535872667775183,4.10524715936844,4.03882821150276e-05,0.00921361425404819,"LINC01484",101928136
"ENSG00000204165",52.5679959560683,3.25025064075036,0.548392160797098,4.10336033520169,4.07192303626175e-05,0.0092208098343936,"CXorf65",158830
"ENSG00000185862",1782.21017232701,2.95271564736489,0.476270907270566,4.10001034611918,4.13131668407805e-05,0.00928701897223005,"EVI2B",2124
"ENSG00000179715",722.289929671727,2.37806682917781,0.33675398158227,4.09220649063399,4.27287899300345e-05,0.00953564161938603,"PCED1B",91523
"ENSG00000235532",86.993288270546,4.87738376496229,0.947984624983919,4.09013359792419,4.31124783947254e-05,0.00955205033900978,"LINC00402",NA
"ENSG00000245466",20.8370084716778,3.24605448411874,0.550389286707559,4.08084702657403,4.48718807484403e-05,0.00987085222435512,"CTD-2540L5.6",101928075
